id,date,channel,customer_type,content,keyword_hint
001,2026-05-02,이메일,1차 협력사,CBAM 신고 양식 제출 기한이 정확히 언제인가요? 올해 처음 신고라 헷갈립니다.,"CBAM, 신고기한"
002,2026-05-03,채널톡,기타,탄소 배출량 계산 방식이 작년과 달라진 것 같습니다. Scope 2 수치가 갑자기 크게 바뀌었어요. 무슨 기준이 바뀐 건지 설명해주세요.,"Scope2, 배출량계산"
003,5월 4일,이메일,2차 협력사,카본링크 플랫폼에 로그인이 안 됩니다. 비밀번호 재설정도 안 되고 있어요. 업무가 마비됐습니다.,"로그인, 플랫폼오류"
004,2026-05-05,이메일,기타,CSRD 보고서 초안 검토해주셔서 감사합니다. 덕분에 이사회 보고를 무사히 마쳤습니다.,"CSRD, 보고서"
005,2026/05/06,채널톡,기타,Scope 3 카테고리 15번(투자) 계산이 너무 복잡합니다. 금융업 특화 가이드가 있으면 제공해주세요.,"Scope3, 금융투자"
006,2026-05-07,이메일,1차 협력사,CBAM 인증서 구매 절차를 단계별로 설명하는 가이드 문서를 만들어 주시면 좋겠습니다.,"CBAM, 인증서, 가이드"
007,2026-05-08,미팅메모,기타,탄소중립 이행 계획서 작성 시 공공기관이 적용받는 기준이 따로 있나요? 민간 기준과 다른 게 있는지 확인하고 싶습니다.,"탄소중립, 공공기관"
008,2026/05/09,이메일,OEM,공급망 2차 협력사 데이터 입력 기능이 너무 불편합니다. 협력사가 200개인데 일일이 손으로 입력해야 해서 시간이 너무 걸립니다.,"Scope3, 협력사데이터, 입력"
009,2026-05-10,채널톡,기타,PCF(제품탄소발자국) 산정에 어떤 LCA 데이터베이스를 쓰면 좋을까요? ecoinvent 말고 국내 데이터베이스가 있는지 궁금합니다.,"LCA, PCF, 탄소발자국"
010,2026-05-11,이메일,OEM,카본링크에서 출력한 CBAM 보고서가 EU 세관에서 반려됐습니다. 양식 문제인지 수치 문제인지 확인 부탁드립니다. 긴급합니다.,"CBAM, 보고서, EU세관"
011,5월 12일,채널톡,기타,ESG 포트폴리오 관리 기능이 추가되면 좋겠습니다. 투자사 입장에서 피투자사의 탄소 지표를 대시보드에서 한눈에 보고 싶습니다.,"ESG, 포트폴리오, 투자"
012,2026/05/13,이메일,1차 협력사,온보딩 담당자분이 너무 친절하게 안내해주셔서 초기 세팅이 순조로웠습니다. 감사합니다.,"온보딩, CS"
013,2026-05-14,이메일,기타,CSRD 이중 중요성(double materiality) 평가 방법론을 플랫폼 내에서 지원해줄 수 있나요? 외부 컨설팅 비용이 너무 많이 나옵니다.,"CSRD, 이중중요성"
014,2026-05-15,채널톡,2차 협력사,같은 제품인데 카본링크 계산 결과와 외부 전문기관 산정값이 20% 차이납니다. 어느 쪽이 맞는 건지 근거를 알고 싶습니다.,"계산로직, 검증"
015,2026-05-16,이메일,기타,탄소발자국 검증 인증 기관 목록을 알려주실 수 있나요? 내부 감사에서 제3자 검증 요구가 들어왔습니다.,"검증, 인증기관"
016,5월 17일,채널톡,1차 협력사,CBAM 전환 기간이 끝나고 2026년 1월부터 인증서를 실제로 구매해야 한다는 게 맞나요? 비용이 얼마나 될지 추산 방법이 있나요?,"CBAM, 인증서비용, 전환기간"
017,2026/05/18,이메일,기타,플랫폼 UI가 직관적으로 바뀐 것 같아요. 저번 달 업데이트 이후로 훨씬 편하게 쓰고 있습니다.,"UI, 사용성"
018,2026-05-19,이메일,기타,공급업체 탄소 데이터 공유 요청을 일괄 발송하는 기능이 필요합니다. 현재는 협력사마다 개별 링크 전송이 너무 번거롭습니다.,"Scope3, 협력사, 자동화"
019,2026-05-20,채널톡,2차 협력사,Scope 1 직접 배출 측정에서 연료 연소 계산이 틀린 것 같습니다. GWP 값 업데이트가 반영 안 된 것 같아요. IPCC 6차 보고서 기준으로 수정해주세요.,"Scope1, GWP, IPCC"
020,2026/05/21,이메일,1차 협력사,탄소 감축 로드맵 수립을 지원하는 컨설팅 서비스도 추가해주시면 좋겠습니다. 측정은 됐는데 어떻게 줄여야 할지 막막합니다.,"감축로드맵, 컨설팅"
021,2026-05-22,이메일,기타,담당자분이 빠르게 답변해주시고 이슈를 다음 날 바로 해결해주셨습니다. 대응이 매우 인상적이었습니다.,"CS대응, 고객만족"
022,5월 23일,채널톡,기타,TCFD 보고와 CSRD 보고를 동시에 할 때 중복 데이터 입력을 줄일 수 있는 기능을 추가해주세요. 두 프레임워크 데이터가 따로 관리되어 비효율적입니다.,"TCFD, CSRD, 이중보고"
023,2026/05/24,이메일,1차 협력사,CBAM 관련 데이터를 협력사에서 받아야 하는데 협력사들이 협조를 안 합니다. 공문이나 요청 템플릿 양식을 제공해 주실 수 있나요?,"CBAM, 협력사, 공문템플릿"
024,2026-05-25,이메일,기타,작년에 비해 탄소 배출 집계 오류가 많이 줄었습니다. 카본링크 덕분에 보고서 품질이 확실히 올라갔어요.,"보고서품질, 정확도"
025,2026-05-26,채널톡,OEM,EU 수입업자가 우리 제품의 탄소 내재량 데이터를 요구하는데 어떤 형식으로 제출해야 하나요? 표준 양식이 있나요?,"CBAM, 탄소내재량, EU수입"
026,2026/05/27,이메일,기타,카본링크 API 연동이 자꾸 끊깁니다. ERP 시스템과 연결했는데 하루에 두세 번씩 연결이 끊겨서 데이터가 누락됩니다. 빨리 해결해주세요.,"API, ERP, 연동오류"
027,5월 28일,채널톡,1차 협력사,ISO 14064 인증 제출용 데이터 내보내기가 안 됩니다. 인증 기관 요청 양식과 호환이 안 된다고 합니다. 해결해주세요.,"ISO14064, 인증, 데이터내보내기"
028,2026-05-29,이메일,기타,탄소중립 2050 로드맵 작성 지원이 정말 좋았습니다. 실무에서 바로 활용할 수 있는 수준으로 작성해주셨어요.,"탄소중립, 로드맵"
029,2026/05/30,이메일,OEM,카본링크 대시보드에서 연도별 배출량 추세 비교 차트가 있으면 좋겠습니다. 이사회 보고 시 트렌드를 시각화해서 보여줘야 합니다.,"대시보드, 차트, 이사회보고"
030,2026-05-31,채널톡,기타,CSRD 보고 기준 해석이 감사법인마다 다르게 안내를 해서 혼란스럽습니다. 리뉴어스랩의 공식 입장은 무엇인가요?,"CSRD, 감사법인, 해석기준"
031,2026-05-02,이메일,1차 협력사,CBAM 신고 양식 제출 기한이 정확히 언제인가요? 올해 처음 신고라 헷갈립니다.,"CBAM, 신고기한"
032,2026-06-01,,1차 협력사,올해 CBAM 신고 담당자가 바뀌었는데 플랫폼 내에서 담당자 권한 이전 절차가 어떻게 되나요?,"CBAM, 권한관리"
033,2026-06-02,채널톡,기타,Scope 3 계산 결과가 경쟁사 플랫폼과 30% 이상 차이가 납니다. 계산 로직을 공개해주시거나 설명해주세요.,"Scope3, 계산로직"
034,2026-06-03,이메일,2차 협력사,공급망 탄소 데이터 수집 자동화가 도입된 이후로 업무 시간이 절반 이상 줄었습니다. 정말 만족스럽습니다.,"자동화, 업무효율"
035,2026-06-04,,기타,탄소 크레딧 구매와 실제 Scope 3 감축 효과를 구분해서 리포트에 표시하는 기능이 있으면 좋겠습니다.,"탄소크레딧, Scope3"
036,2026-06-05,이메일,기타,CBAM 시행으로 인해 공공기관 구매 물품에도 탄소비용이 전가되는 건가요? 조달 정책에 어떻게 영향이 있는지 알고 싶습니다.,"CBAM, 조달, 공공"
037,2026-06-06,채널톡,1차 협력사,분기별 탄소 보고서 자동 생성 기능을 추가해주세요. 현재는 매분기 수동으로 정리해야 해서 번거롭습니다.,"보고서자동화, 분기"
038,2026/06/07,이메일,기타,카본링크 모바일 앱이 없어서 불편합니다. 출장 중에 데이터 확인이 안 됩니다.,"모바일, UI"
039,5월 9일,이메일,2차 협력사,지난 분기 대비 탄소배출량이 15% 감소했습니다. 카본링크 분석 리포트 덕분에 어디서 줄일 수 있는지 파악이 됐어요. 감사합니다.,"탄소감축, 분석리포트"
040,2026-06-09,이메일,기타,녹색채권(Green Bond) 발행 시 탄소 데이터 검증 요건이 어떻게 되나요? ICMA 원칙과 카본링크 데이터가 연계 가능한가요?,"녹색채권, ICMA, 검증"
041,2026-06-10,채널톡,OEM,CBAM 인증서 단가가 EU ETS 탄소 가격에 연동된다고 하는데 현재 예상 단가를 어떻게 추산하면 되나요?,"CBAM, ETS, 탄소가격"
042,2026/06/11,이메일,기타,글로벌 고객사에서 SBTi(과학기반감축목표) 기준으로 감축 목표 설정을 요구했습니다. 카본링크에서 SBTi 시나리오 분석이 가능한가요?,"SBTi, 감축목표"
043,2026-06-12,이메일,1차 협력사,플랫폼 보고서 커스터마이징 기능이 너무 제한적입니다. 우리 회사 형식에 맞게 보고서를 수정하고 싶은데 고정된 템플릿만 써야 합니다. 기능 개선 요청드립니다.,"보고서, 커스터마이징"
044,2026-06-13,채널톡,기타,탄소배출권 시장에서 외부 감축 크레딧을 구매할 때 국내 크레딧과 해외 크레딧의 인정 범위가 다른가요?,"탄소배출권, 크레딧"
045,2026-06-14,이메일,OEM,CBAM 신고 마감일이 지났는데 연장 신청이 가능한지 EU 세관에 문의하는 방법을 모르겠습니다. 수출 계약이 위험합니다. 긴급 대응이 필요합니다.,"CBAM, 신고마감, 긴급"
